tipo,titulo,link,data
Manchete Secundária,Jovem é assaltado sob ameaça de faca em Paulista,https://jc.uol.com.br/tv-jornal/videos/2025/09/11/jovem-e-assaltado-sob-ameaca-de-faca-em-paulista.html,Publicado em 11/09/2025 às 18:33
Manchete Secundária,Idoso é resgatado após queda em buraco em Olinda,https://jc.uol.com.br/tv-jornal/videos/2025/09/11/idoso-e-resgatado-apos-queda-em-buraco-em-olinda.html,Publicado em 11/09/2025 às 18:22
Manchete Secundária,Comerciante sobrevive após levar nove facadas de ex-genro de amiga em ataque motivado por ciúmes,https://jc.uol.com.br/tv-jornal/videos/2025/09/11/comerciante-sobrevive-apos-levar-nove-facadas-de-ex-genro-de-amiga-em-ataque-motivado-por-ciumes.html,Publicado em 11/09/2025 às 15:51
Manchete Secundária,"""Seria um hipócrita se reclamasse"", diz meia do Sport sobre suposto atraso salarial",https://jc.uol.com.br/blog-do-torcedor/sport/2025/09/10/seria-um-hipocrita-se-reclamasse-diz-meia-do-sport-sobre-suposto-atraso-salarial.html,Publicado em 10/09/2025 às 22:55
Manchete Secundária,Feira de adoção no Recife busca novos lares para cães e gatos resgatados,https://jc.uol.com.br/meu-pet/2025/09/09/feira-de-adocao-no-recife-busca-novos-lares-para-caes-e-gatos-resgatados.html,Publicado em 09/09/2025 às 17:57
Manchete Secundária,Clínicas são interditadas por uso de medicamentos vencidos e falhas em procedimentos corporais,https://jc.uol.com.br/colunas/saude-e-bem-estar/2025/09/11/clinicas-sao-interditadas-em-jaboatao-por-uso-de-medicamentos-vencidos-e-falhas-em-procedimentos-corporais.html,Publicado em 11/09/2025 às 12:05
Manchete Secundária,Olinda celebra o Dia Nacional do Frevo com programação especial de sexta a domingo,https://jc.uol.com.br/cultura/2025/09/11/olinda-celebra-o-dia-nacional-do-frevo-com-programacao-especial-de-sexta-a-domingo.html,"Publicado em 11/09/2025 às 12:34
                | Atualizado em 11/09/2025 às 12:34"
Manchete Secundária,Enem 2025: confira os cursos mais concorridos na UFPE,https://jc.uol.com.br/colunas/enem-e-educacao/2025/09/11/enem-2025-confira-os-cursos-mais-concorridos-na-ufpe.html,Publicado em 11/09/2025 às 11:49
Manchete Secundária,Raquel inicia este final de semana visita a 90 municípios,https://jc.uol.com.br/colunas/blog-dellas,Data não encontrada na página
Manchete Secundária,"Crédito do Trabalhador: consignado barato 'para sair do endividamento' tem juros 35,73% maiores que antes de vinculá-lo ao FGTS",https://jc.uol.com.br/colunas/jc-negocios,Data não encontrada na página
Manchete Secundária,Itaú leiloa mais de 85 imóveis com lances a partir de R$ 33 mil,https://jc.uol.com.br/colunas/metro-quadrado,Data não encontrada na página
Manchete Secundária,"Supremo não brinca em serviço e, sem pestanejar, decidiu mandar Jair Bolsonaro para a cadeia",https://jc.uol.com.br/colunas/politica-em-brasilia,Data não encontrada na página
Manchete Secundária,JC Educação reúne especialistas em educação para debater saúde mental na escola,https://jc.uol.com.br/colunas/enem-e-educacao,Data não encontrada na página
Manchete Secundária,Moraes usou dosimetria de Mauro Cid para negar perdão e dar recado sobre anistia,https://jc.uol.com.br/colunas/cena-politica,Data não encontrada na página
Manchete Secundária,PF prende 'Careca do INSS' em nova fase de operação contra fraudes,https://jc.uol.com.br/politica/2025/09/12/pf-prende-careca-do-inss-em-nova-fase-de-operacao-contra-fraudes.html,Publicado em 12/09/2025 às 8:21
Manchete Secundária,"Datafolha: aprovação de Lula sobe para 33%, maior porcentual desde dezembro de 2024",https://jc.uol.com.br/politica/2025/09/12/datafolha-aprovacao-de-lula-sobe-para-33-maior-porcentual-desde-dezembro-de-2024.html,Publicado em 12/09/2025 às 8:12
Manchete Secundária,Raquel inicia este final de semana visita a 90 municípios,https://jc.uol.com.br/colunas/blog-dellas/2025/09/12/raquel-inicia-este-final-de-semana-visita-a-90-municipios.html,Publicado em 12/09/2025 às 7:51
Manchete Secundária,STEAM Fair: metodologia da Eleva Recife onde o aluno é protagonista,https://jc.uol.com.br/jc360/2025/09/12/steam-fair-metodologia-da-eleva-recife-onde-o-aluno-e-protagonista.html,Publicado em 12/09/2025 às 7:20
Manchete Secundária,Colégio Studio Class reforça a importância da escola na formação da criança,https://jc.uol.com.br/jc360/2025/09/12/colegio-studio-class-reforca-a-importancia-da-escola-na-formacao-da-crianca.html,Publicado em 12/09/2025 às 7:10
Manchete Secundária,Previsão do tempo: veja como fica o clima no fim de semana em Pernambuco (12 a 14/09),https://jc.uol.com.br/pernambuco/2025/09/12/previsao-do-tempo-veja-como-fica-o-clima-no-fim-de-semana-em-pernambuco-12-a-14-09.html,Publicado em 12/09/2025 às 7:07
Manchete Secundária,Geração Solidária: projeto do Colégio Núcleo estimula protagonismo e coletividade dos estudantes,https://jc.uol.com.br/jc360/2025/09/12/geracao-solidaria-projeto-do-colegio-nucleo-estimula-protagonismo-e-coletividade-dos-estudantes.html,Publicado em 12/09/2025 às 7:00
Manchete Secundária,"Colégio Motivo comemora 25 anos investindo em pessoas, tecnologia e educação",https://jc.uol.com.br/jc360/2025/09/12/colegio-motivo-comemora-25-anos-investindo-em-pessoas-tecnologia-e-educacao.html,Publicado em 12/09/2025 às 6:50
Manchete Secundária,Sem acordo! Jogo entre Maranhão x Santa Cruz segue no estádio Castelão,https://jc.uol.com.br/blog-do-torcedor/santa-cruz/2025/09/11/sem-acordo-jogo-entre-maranhao-x-santa-cruz-segue-no-estadio-castelao.html,Publicado em 11/09/2025 às 21:09
Manchete Secundária,Qual posição do Santa Cruz no Ranking da CBF? Veja possíveis colocações após Série D,https://jc.uol.com.br/blog-do-torcedor/santa-cruz/2025/09/11/qual-posicao-do-santa-cruz-no-ranking-da-cbf-veja-possiveis-colocacoes-apos-serie-d.html,Publicado em 11/09/2025 às 16:39
Manchete Secundária,Atlético-MG x Sport: CBF confirma data e horário de jogo atrasado,https://jc.uol.com.br/blog-do-torcedor/sport/2025/09/11/atletico-mg-x-sport-cbf-confirma-data-e-horario-de-jogo-atrasado.html,Publicado em 11/09/2025 às 20:29
Manchete Secundária,Caldeirão lotado! Náutico divulga nova parcial de ingressos vendidos para o jogo contra o Guarani,https://jc.uol.com.br/blog-do-torcedor/nautico/2025/09/10/caldeirao-lotado-nautico-divulga-nova-parcial-de-ingressos-vendidos-para-o-jogo-contra-o-guarani.html,Publicado em 10/09/2025 às 14:30
Manchete Secundária,"""O bom cinema é o que tem o sabor particular"": Kleber Mendonça Filho fala sobre o olhar pessoal dentro de projetos cinematográficos",https://jc.uol.com.br/social1/filmes/2025/09/10/o-bom-cinema-e-o-que-tem-o-sabor-particular-kleber-mendonca-filho-fala-sobre-o-olhar-pessoal-dentro-de-projetos-cinematograficos.html,Publicado em 10/09/2025 às 19:42
Manchete Secundária,"Vitú MC representa Pernambuco na Superliga da Batalha da Aldeia, dentro do The Town",https://jc.uol.com.br/social1/agenda/2025/09/11/vitu-mc-representa-pernambuco-na-superliga-da-batalha-da-aldeia-dentro-do-the-town.html,"Publicado em 11/09/2025 às 16:44
                | Atualizado em 12/09/2025 às 0:06"
Manchete Secundária,Bonecos do BTS chegam ao McDonald's: veja combos e preços do TinyTAN no Brasil,https://jc.uol.com.br/social1/celebridades/2025/09/11/bonecos-do-bts-chegam-ao-mcdonalds-veja-combos-e-precos-do-tinytan-no-brasil.html,"Publicado em 11/09/2025 às 11:12
                | Atualizado em 11/09/2025 às 12:05"
Manchete Secundária,Cabelo x clima: como cada estação do ano muda a saúde dos fios,https://jc.uol.com.br/social1/beleza/cabelo/2025/09/10/cabelo-x-clima-como-cada-estacao-do-ano-muda-a-saude-dos-fios.html,"Publicado em 10/09/2025 às 22:40
                | Atualizado em 10/09/2025 às 22:43"
Manchete Secundária,As séries brasileiras que fazem muito sucesso em outros países,https://jc.uol.com.br/social1/series/2025/09/10/as-series-brasileiras-que-fazem-muito-sucesso-em-outros-paises.html,Publicado em 10/09/2025 às 21:17
Manchete Secundária,Cerveja brasileira do interior de SP é eleita a melhor do mundo em um dos maiores concursos cervejeiros internacionais,https://receitadaboa.com.br/cerveja-brasileira-do-interior-de-sp-e-eleita-a-melhor-do-mundo-em-um-dos-maiores-concursos-cervejeiros-internacionais/,Data não encontrada na página
Manchete Secundária,Café paulista cria cardápio exclusivo inspirado em memes,https://receitadaboa.com.br/cafe-paulista-cria-cardapio-exclusivo-inspirado-em-memes/,Data não encontrada na página
Manchete Secundária,8 receitas para jantar simples,https://receitadaboa.com.br/8-receitas-para-jantar-simples/,Data não encontrada na página
Manchete Secundária,5 receitas com pasta de amendoim saborosas,https://receitadaboa.com.br/5-receitas-com-pasta-de-amendoim-saborosas/,Data não encontrada na página
Manchete Secundária,BR-232 interditada: Nova interdição da BR-232 na saída do Recife já tem data para acontecer. Confira,https://jc.uol.com.br/colunas/mobilidade/2025/09/08/br-232-interditada-nova-interdicao-da-br-232-na-saida-do-recife-ja-tem-data-para-acontecer-confira.html,"Publicado em 08/09/2025 às 17:36
                | Atualizado em 08/09/2025 às 17:37"
Manchete Secundária,Transporte por moto: Maioria das motocicletas usadas no serviço de Uber e 99 Moto não suporta peso de duas pessoas,https://jc.uol.com.br/colunas/mobilidade/2025/09/09/transporte-por-moto-maioria-das-motocicletas-usadas-no-servico-de-uber-e-99-moto-nao-suporta-peso-de-duas-pessoas.html,"Publicado em 09/09/2025 às 14:36
                | Atualizado em 11/09/2025 às 15:09"
Manchete Secundária,Raquel Lyra promove novas mudanças na área de mobilidade e infraestrutura do Estado de olho na reeleição em 2026,https://jc.uol.com.br/colunas/mobilidade/2025/09/08/raquel-lyra-promove-novas-mudancas-na-area-de-mobilidade-e-infraestrutura-do-estado-de-olho-na-reeleicao-em-2026.html,"Publicado em 08/09/2025 às 14:41
                | Atualizado em 08/09/2025 às 14:44"
Manchete Secundária,PEC 32/20 da Reforma Administrativa: entenda o que muda e os impactos nos concursos públicos,https://jc.uol.com.br/economia/2025/09/10/pec-32-20-da-reforma-administrativa-entenda-o-que-muda-e-os-impactos-nos-concursos-publicos.html,"Publicado em 10/09/2025 às 10:18
                | Atualizado em 10/09/2025 às 10:42"
Manchete Secundária,"Dalbert e Titi Ortíz, de saída do Sport, realizam exames médicos no América-MG",https://blogdotorcedor.com.br/sport/2025/07/24/dalbert-e-titi-ortiz-de-saida-do-sport-realizam-exames-medicos-no-america-mg.html,Publicado em 24/07/2025 às 16:31
Manchete Secundária,Sport x Santos: confira provável escalação do Leão da Ilha e desfalques,https://blogdotorcedor.com.br/sport/2025/07/24/sport-x-santos-confira-provavel-escalacao-do-leao-da-ilha-e-desfalques.html,Publicado em 24/07/2025 às 14:45
Manchete Secundária,Sport precisa repetir campanha do Mirassol para evitar queda à Série B,https://blogdotorcedor.com.br/sport/2025/07/24/sport-precisa-repetir-campanha-do-mirassol-para-evitar-queda-a-serie-b.html,Publicado em 24/07/2025 às 12:42
Manchete Secundária,Sport divulga parcial de ingressos para duelo contra o Santos,https://blogdotorcedor.com.br/sport/2025/07/24/sport-divulga-parcial-de-ingressos-para-duelo-contra-o-santos.html,Publicado em 24/07/2025 às 12:25
Manchete Secundária,Carvalheira na Ladeira recebe mais uma vez o certificado de Lixo Zero,https://jc.uol.com.br/social1/joao-alberto/2025/09/10/carvalheira-na-ladeira-recebe-mais-uma-vez-o-certificado-de-lixo-zero.html,Publicado em 10/09/2025 às 12:01
Manchete Secundária,Pedro Godoy e Eduardo Freyre celebram vinhos naturais com Carlos Sanabria,https://jc.uol.com.br/social1/joao-alberto/2025/09/09/pedro-godoy-e-eduardo-freyre-celebram-vinhos-naturais-com-carlos-sanabria.html,"Publicado em 09/09/2025 às 14:04
                | Atualizado em 09/09/2025 às 14:17"
Manchete Secundária,Confira mais registros do evento:,https://jc.uol.com.br/social1/joao-alberto/2025/09/01/confira-mais-registros-do-evento.html,Publicado em 01/09/2025 às 6:00
Manchete Secundária,Aniversário do Novotel Recife Marina é marcado por evento especial,https://jc.uol.com.br/social1/joao-alberto/2025/08/12/aniversario-do-novotel-recife-marina-e-marcado-por-evento-especial.html,Publicado em 12/08/2025 às 11:15
